startup_name,industry,original_ask_amount,total_deal_amount,number_of_sharks_in_deal,total_deal_equity,number_of_presenters,funded_flag
bambinos,Children/Education,100.0,100.0,3.0,1.5,2,True
FundooLabs,Children/Education,60.0,66.0,2.0,7.0,1,True
Gaon,Food and Beverage,80.0,80.0,2.0,8.0,1,True
EriWeave,Beauty/Fashion,20.0,20.0,2.0,12.0,2,True
PaleooBakes,Food and Beverage,100.0,100.0,2.0,9.0,2,True
NeuraSim,Medical/Health,100.0,,,,3,False
Offmint,Beauty/Fashion,0.0001,10.0,5.0,4.0,1,True
Chokhat,Lifestyle/Home,50.0,30.0,2.0,10.0,1,True
ZenmaCoffee,Food and Beverage,60.0,,,,2,False
TheEleFant,Children/Education,60.0,,,,2,False
BetterNutrition,Food and Beverage,60.0,60.0,1.0,1.0,2,True
PinqPolka,Beauty/Fashion,100.0,,,,3,False
Vibrasense,Medical/Health,100.0,100.0,2.0,4.76,1,True
NearBook,Children/Education,40.0,40.0,1.0,20.0,1,True
Memotag,Medical/Health,50.0,,,,1,False
Klimate,Beauty/Fashion,54.0,,,,3,False
HealthFab,Medical/Health,100.0,200.0,4.0,7.0,3,True
PieMatrix,Others,100.0,,,,2,False
Sudathi,Beauty/Fashion,100.0,100.0,3.0,4.0,3,True
Moderate,Medical/Health,50.0,100.0,2.0,5.0,3,True
HireForCare,Medical/Health,36.0,36.0,5.0,5.0,2,True
DreamSmile,Medical/Health,80.0,,,,2,False
Madmix,Food and Beverage,50.0,50.0,1.0,5.0,1,True
Palmonas,Beauty/Fashion,126.0,126.0,2.0,1.0,2,True
MKPowerAndMobility,Vehicles/Electrical Vehicles,350.0,,,,2,False
Nidhi'sGrandmaaSecret,Beauty/Fashion,70.0,70.0,1.0,5.0,3,True
Solnce,Manufacturing,100.0,100.0,1.0,2.5,2,True
BornGood,Lifestyle/Home,70.0,,,,1,False
DorabiAndAmili,Beauty/Fashion,75.0,100.0,2.0,4.0,3,True
ZebraLearn,Children/Education,100.0,100.0,1.0,1.6,2,True
ExclusiveLane,Lifestyle/Home,50.0,,,,2,False
Medial,Technology/Software,50.0,50.0,1.0,2.5,4,True
PanchalDairy,Food and Beverage,20.0,,,,2,False
MusicPandit,Children/Education,50.0,,,,1,False
Cograd,Children/Education,100.0,50.0,3.0,6.0,2,True
EatBetterCo,Food and Beverage,50.0,50.0,1.0,0.5,3,True
Earthful,Medical/Health,75.0,75.0,1.0,2.5,2,True
Trajectory,Vehicles/Electrical Vehicles,100.0,50.0,1.0,3.0,2,True
KaviThePoetry-ArtProject,Green/CleanTech,60.0,,,,2,False
F2DF,Agriculture,50.0,5.0,1.0,2.0,4,True
SugarStrings.ai,Medical/Health,100.0,,,,3,False
MomsHome,Children/Education,75.0,75.0,1.0,2.0,2,True
Catwalk,Food and Beverage,100.0,,,,2,False
Beautywise,Beauty/Fashion,100.0,300.0,1.0,6.0,2,True
Ivory,Medical/Health,50.0,50.0,1.0,5.0,2,True
TheHousePartyBySavar,Business Services,100.0,50.0,1.0,5.0,2,True
GlowGlossary,Food and Beverage,60.0,,,,2,False
SinghDentalCare,Medical/Health,100.0,,,,1,False
TribalVeda,Food and Beverage,50.0,50.0,1.0,2.8,2,True
Anuvad,Beauty/Fashion,50.0,,,,1,False
Fitelo,Fitness/Sports/Outdoors,150.0,150.0,2.0,1.0,2,True
Nanighar,Food and Beverage,100.0,,,,2,False
GoodMonk,Fitness/Sports/Outdoors,100.0,50.0,1.0,1.0,2,True
Artbuzz,Business Services,100.0,,,,2,False
Tulua,Food and Beverage,50.0,,,,2,False
Taffykids,Children/Education,75.0,75.0,2.0,1.5,3,True
WhaleWearables,Lifestyle/Home,30.0,30.0,2.0,3.0,2,True
Zingavita,Medical/Health,100.0,,,,2,False
DhaagaLife,Beauty/Fashion,75.0,,,,3,False
Tileskraft,Lifestyle/Home,60.0,,,,1,False
Krishnsakhi,Lifestyle/Home,37.5,,,,2,False
BoreCharger,Agriculture,75.0,,,,2,False
